2022-03-16 11:22:13,403 #Agilent Technologies,E3648A,0,1.7-5.0-1.0
2022-03-16 11:22:14,257 #LIMITS: 12.0, 1.2 CURRENTS: 1.0, 0.6
2022-03-16 11:22:14,956 FPGA Voltage: 12.01368, FPGA Current: 0.5235726, ASIC Voltage: 1.214669, ASIC Current:0.3054228
2022-03-16 11:22:20,661 FPGA Voltage: 12.01373, FPGA Current: 0.5257956, ASIC Voltage: 1.214416, ASIC Current:0.3053962
2022-03-16 11:22:26,360 FPGA Voltage: 12.01348, FPGA Current: 0.5312715, ASIC Voltage: 1.214517, ASIC Current:0.3053829
2022-03-16 11:22:32,060 FPGA Voltage: 12.01358, FPGA Current: 0.5267231, ASIC Voltage: 1.214466, ASIC Current:0.3054029
2022-03-16 11:22:37,761 FPGA Voltage: 12.0135, FPGA Current: 0.527705, ASIC Voltage: 1.214719, ASIC Current:0.3054893
2022-03-16 11:22:43,456 FPGA Voltage: 12.01368, FPGA Current: 0.5263684, ASIC Voltage: 1.214567, ASIC Current:0.3054361
2022-03-16 11:22:49,153 FPGA Voltage: 12.01363, FPGA Current: 0.5255365, ASIC Voltage: 1.214669, ASIC Current:0.3054361
2022-03-16 11:22:54,847 FPGA Voltage: 12.01348, FPGA Current: 0.5329149, ASIC Voltage: 1.214669, ASIC Current:0.3064466
2022-03-16 11:23:00,545 FPGA Voltage: 12.01343, FPGA Current: 0.526382, ASIC Voltage: 1.214719, ASIC Current:0.3054361
2022-03-16 11:23:06,251 FPGA Voltage: 12.01343, FPGA Current: 0.5255092, ASIC Voltage: 1.214694, ASIC Current:0.3054228
2022-03-16 11:23:12,004 FPGA Voltage: 12.01353, FPGA Current: 0.5256865, ASIC Voltage: 1.214669, ASIC Current:0.3054361
2022-03-16 11:23:17,757 FPGA Voltage: 12.01358, FPGA Current: 0.5250455, ASIC Voltage: 1.214719, ASIC Current:0.3054228
2022-03-16 11:23:23,456 FPGA Voltage: 12.01363, FPGA Current: 0.5471262, ASIC Voltage: 1.214719, ASIC Current:0.3052566
2022-03-16 11:23:29,154 FPGA Voltage: 12.0137, FPGA Current: 0.5243363, ASIC Voltage: 1.214567, ASIC Current:0.3054095
2022-03-16 11:23:34,846 FPGA Voltage: 12.01348, FPGA Current: 0.5322057, ASIC Voltage: 1.214795, ASIC Current:0.3053962
2022-03-16 11:23:40,542 FPGA Voltage: 12.01348, FPGA Current: 0.530119, ASIC Voltage: 1.214618, ASIC Current:0.3053962
2022-03-16 11:23:46,240 FPGA Voltage: 12.01353, FPGA Current: 0.5258433, ASIC Voltage: 1.214517, ASIC Current:0.3054228
2022-03-16 11:23:51,946 FPGA Voltage: 12.01365, FPGA Current: 0.54774, ASIC Voltage: 1.214567, ASIC Current:0.3052234
2022-03-16 11:23:57,649 FPGA Voltage: 12.01363, FPGA Current: 0.5495539, ASIC Voltage: 1.214567, ASIC Current:0.3320803
2022-03-16 11:24:03,353 FPGA Voltage: 12.01353, FPGA Current: 0.5238998, ASIC Voltage: 1.214643, ASIC Current:0.3054361
2022-03-16 11:24:09,054 FPGA Voltage: 12.01368, FPGA Current: 0.5302963, ASIC Voltage: 1.214567, ASIC Current:0.3054693
2022-03-16 11:24:14,751 FPGA Voltage: 12.0135, FPGA Current: 0.5262184, ASIC Voltage: 1.214491, ASIC Current:0.3054627
2022-03-16 11:24:20,449 FPGA Voltage: 12.01353, FPGA Current: 0.5262456, ASIC Voltage: 1.214669, ASIC Current:0.3053829
2022-03-16 11:24:26,147 FPGA Voltage: 12.01353, FPGA Current: 0.5306236, ASIC Voltage: 1.214643, ASIC Current:0.3053829
2022-03-16 11:24:31,845 FPGA Voltage: 12.0137, FPGA Current: 0.5264366, ASIC Voltage: 1.214517, ASIC Current:0.3054095
2022-03-16 11:24:37,550 FPGA Voltage: 12.01348, FPGA Current: 0.5254956, ASIC Voltage: 1.214669, ASIC Current:0.3054095
2022-03-16 11:24:43,275 FPGA Voltage: 12.01353, FPGA Current: 0.5236816, ASIC Voltage: 1.214669, ASIC Current:0.3054494
2022-03-16 11:24:49,034 FPGA Voltage: 12.01355, FPGA Current: 0.5260411, ASIC Voltage: 1.214719, ASIC Current:0.3054893
2022-03-16 11:24:54,736 FPGA Voltage: 12.01355, FPGA Current: 0.5334059, ASIC Voltage: 1.214669, ASIC Current:0.3052899
2022-03-16 11:25:00,437 FPGA Voltage: 12.01353, FPGA Current: 0.5267503, ASIC Voltage: 1.214517, ASIC Current:0.305476
2022-03-16 11:25:06,133 FPGA Voltage: 12.01343, FPGA Current: 0.5241795, ASIC Voltage: 1.214618, ASIC Current:0.305476
2022-03-16 11:25:11,830 FPGA Voltage: 12.01348, FPGA Current: 0.5253319, ASIC Voltage: 1.214441, ASIC Current:0.3054228
2022-03-16 11:25:17,523 FPGA Voltage: 12.0136, FPGA Current: 0.5269413, ASIC Voltage: 1.214416, ASIC Current:0.3053962
2022-03-16 11:25:23,222 FPGA Voltage: 12.0135, FPGA Current: 0.5478423, ASIC Voltage: 1.214466, ASIC Current:0.3051968
2022-03-16 11:25:28,921 FPGA Voltage: 12.01343, FPGA Current: 0.532383, ASIC Voltage: 1.21434, ASIC Current:0.3053298
2022-03-16 11:25:34,622 FPGA Voltage: 12.01363, FPGA Current: 0.5263548, ASIC Voltage: 1.21439, ASIC Current:0.3054361
2022-03-16 11:25:40,326 FPGA Voltage: 12.01353, FPGA Current: 0.5270368, ASIC Voltage: 1.214669, ASIC Current:0.3054095
