2022-03-14 10:11:15,125 #Agilent Technologies,E3648A,0,1.7-5.0-1.0
2022-03-14 10:15:22,084 FPGA Voltage: 12.01461, FPGA Current: 0.5499494, ASIC Voltage: 1.215529, ASIC Current:0.31697
2022-03-14 10:15:27,786 FPGA Voltage: 12.01452, FPGA Current: 0.5379271, ASIC Voltage: 1.21563, ASIC Current:0.317083
2022-03-14 10:15:33,511 FPGA Voltage: 12.01454, FPGA Current: 0.5530862, ASIC Voltage: 1.215478, ASIC Current:0.3169235
2022-03-14 10:15:39,223 FPGA Voltage: 12.01454, FPGA Current: 0.5290416, ASIC Voltage: 1.215554, ASIC Current:0.3171362
2022-03-14 10:15:44,927 FPGA Voltage: 12.01471, FPGA Current: 0.5288643, ASIC Voltage: 1.215327, ASIC Current:0.3171495
2022-03-14 10:15:50,626 FPGA Voltage: 12.01454, FPGA Current: 0.5293962, ASIC Voltage: 1.215605, ASIC Current:0.3170032
2022-03-14 10:15:56,330 FPGA Voltage: 12.01471, FPGA Current: 0.551586, ASIC Voltage: 1.215732, ASIC Current:0.3169367
2022-03-14 10:16:02,086 FPGA Voltage: 12.01456, FPGA Current: 0.5312374, ASIC Voltage: 1.215655, ASIC Current:0.3170697
2022-03-14 10:16:07,841 FPGA Voltage: 12.01466, FPGA Current: 0.5291984, ASIC Voltage: 1.215428, ASIC Current:0.3170564
2022-03-14 10:16:13,544 FPGA Voltage: 12.01442, FPGA Current: 0.5291575, ASIC Voltage: 1.215352, ASIC Current:0.3170896
2022-03-14 10:16:19,241 FPGA Voltage: 12.01466, FPGA Current: 0.5309169, ASIC Voltage: 1.215352, ASIC Current:0.3171694
2022-03-14 10:16:24,936 FPGA Voltage: 12.01461, FPGA Current: 0.5511427, ASIC Voltage: 1.215453, ASIC Current:0.3169434
2022-03-14 10:16:30,635 FPGA Voltage: 12.01449, FPGA Current: 0.5533044, ASIC Voltage: 1.215529, ASIC Current:0.3168636
2022-03-14 10:16:36,333 FPGA Voltage: 12.01444, FPGA Current: 0.5315578, ASIC Voltage: 1.215352, ASIC Current:0.3170365
2022-03-14 10:16:42,036 FPGA Voltage: 12.01449, FPGA Current: 0.5309032, ASIC Voltage: 1.215301, ASIC Current:0.3171096
2022-03-14 10:16:47,741 FPGA Voltage: 12.01456, FPGA Current: 0.5312442, ASIC Voltage: 1.215402, ASIC Current:0.3171428
2022-03-14 10:16:53,442 FPGA Voltage: 12.01474, FPGA Current: 0.5501335, ASIC Voltage: 1.215554, ASIC Current:0.3168769
2022-03-14 10:16:59,146 FPGA Voltage: 12.01469, FPGA Current: 0.5589303, ASIC Voltage: 1.215554, ASIC Current:0.3168104
2022-03-14 10:17:04,847 FPGA Voltage: 12.01469, FPGA Current: 0.5376133, ASIC Voltage: 1.21558, ASIC Current:0.3170232
2022-03-14 10:17:10,546 FPGA Voltage: 12.01471, FPGA Current: 0.5292461, ASIC Voltage: 1.215706, ASIC Current:0.317063
2022-03-14 10:17:16,245 FPGA Voltage: 12.01464, FPGA Current: 0.5312101, ASIC Voltage: 1.215377, ASIC Current:0.3170963
2022-03-14 10:17:21,941 FPGA Voltage: 12.01452, FPGA Current: 0.5501403, ASIC Voltage: 1.215428, ASIC Current:0.3168902
2022-03-14 10:17:27,647 FPGA Voltage: 12.01469, FPGA Current: 0.5311692, ASIC Voltage: 1.215428, ASIC Current:0.3170298
2022-03-14 10:17:33,354 FPGA Voltage: 12.01447, FPGA Current: 0.5530726, ASIC Voltage: 1.215529, ASIC Current:0.316857
2022-03-14 10:17:39,113 FPGA Voltage: 12.01459, FPGA Current: 0.5316329, ASIC Voltage: 1.215377, ASIC Current:0.3170431
2022-03-14 10:17:44,817 FPGA Voltage: 12.01466, FPGA Current: 0.5308282, ASIC Voltage: 1.215428, ASIC Current:0.3170564
2022-03-14 10:17:50,516 FPGA Voltage: 12.01464, FPGA Current: 0.5302555, ASIC Voltage: 1.215377, ASIC Current:0.3168836
2022-03-14 10:17:56,217 FPGA Voltage: 12.01476, FPGA Current: 0.5580915, ASIC Voltage: 1.2152, ASIC Current:0.316724
2022-03-14 10:18:01,920 FPGA Voltage: 12.01476, FPGA Current: 0.5391204, ASIC Voltage: 1.215529, ASIC Current:0.3171495
2022-03-14 10:18:07,617 FPGA Voltage: 12.01459, FPGA Current: 0.528762, ASIC Voltage: 1.215605, ASIC Current:0.3171428
