timestamp,proton count
2022-03-09 14:34:27.464,3807000000000.0
2022-03-09 14:35:28.064,3790000000000.0
2022-03-09 14:36:28.655,3812000000000.0
2022-03-09 14:37:29.245,3781000000000.0
2022-03-09 14:38:29.826,3789000000000.0
2022-03-09 14:39:30.415,3822000000000.0
2022-03-09 14:40:30.992,3735000000000.0
2022-03-09 14:41:31.567,3762000000000.0
2022-03-09 14:42:32.148,3773000000000.0
2022-03-09 14:43:32.743,3718000000000.0
2022-03-09 14:44:33.352,3781000000000.0
2022-03-09 14:45:33.940,3772000000000.0
2022-03-09 14:46:34.524,3788000000000.0
2022-03-09 14:47:35.113,3790000000000.0
2022-03-09 14:48:40.503,3813000000000.0
2022-03-09 14:49:40.491,3794000000000.0
2022-03-09 14:50:40.478,3741000000000.0
2022-03-09 14:51:40.493,3763000000000.0
2022-03-09 14:52:40.506,3771000000000.0
2022-03-09 14:53:40.520,3751000000000.0
2022-03-09 14:54:40.519,3802000000000.0
2022-03-09 14:55:40.503,3773000000000.0
2022-03-09 14:56:40.480,3823000000000.0
2022-03-09 14:57:40.468,3823000000000.0
2022-03-09 14:58:40.465,3787000000000.0
2022-03-09 14:59:40.448,3790000000000.0
2022-03-09 15:00:40.443,3730000000000.0
2022-03-09 15:01:40.445,3799000000000.0
2022-03-09 15:02:40.433,3763000000000.0
2022-03-09 15:03:40.430,3794000000000.0
2022-03-09 15:04:40.435,3787000000000.0
2022-03-09 15:05:40.430,3780000000000.0
2022-03-09 15:06:40.430,3789000000000.0
2022-03-09 15:07:40.423,3819000000000.0
2022-03-09 15:08:40.413,3811000000000.0
2022-03-09 15:09:40.409,3816000000000.0
2022-03-09 15:10:40.424,3779000000000.0
2022-03-09 15:11:40.433,3836000000000.0
2022-03-09 15:12:40.422,3784000000000.0
2022-03-09 15:13:40.417,3774000000000.0
2022-03-09 15:14:40.418,3768000000000.0
2022-03-09 15:15:40.426,3808000000000.0
2022-03-09 15:16:40.431,3799000000000.0
2022-03-09 15:17:40.428,3784000000000.0
2022-03-09 15:18:40.420,3802000000000.0
2022-03-09 15:19:40.428,3801000000000.0
2022-03-09 15:20:40.437,3741000000000.0
2022-03-09 15:21:40.448,3755000000000.0
2022-03-09 15:22:40.451,3801000000000.0
2022-03-09 15:23:40.461,3777000000000.0
2022-03-09 15:24:40.479,3797000000000.0
2022-03-09 15:25:40.482,3810000000000.0
2022-03-09 15:26:40.490,3812000000000.0
2022-03-09 15:27:40.482,3791000000000.0
2022-03-09 15:28:40.483,3785000000000.0
2022-03-09 15:29:40.493,3768000000000.0
2022-03-09 15:30:40.496,3828000000000.0
2022-03-09 15:31:40.505,3794000000000.0
2022-03-09 15:32:40.497,3811000000000.0
2022-03-09 15:33:40.481,3848000000000.0
2022-03-09 15:34:40.481,3834000000000.0
2022-03-09 15:35:40.486,3806000000000.0
2022-03-09 15:36:40.491,3767000000000.0
2022-03-09 15:37:40.511,3789000000000.0
2022-03-09 15:38:40.525,3845000000000.0
2022-03-09 15:39:40.530,3785000000000.0
